"feature_id","original_feature_name","new_feature_name"
53,"tGravityAcc-min()-X","tGravityAcc_min_X"
54,"tGravityAcc-min()-Y","tGravityAcc_min_Y"
55,"tGravityAcc-min()-Z","tGravityAcc_min_Z"
56,"tGravityAcc-sma()","tGravityAcc_sma"
57,"tGravityAcc-energy()-X","tGravityAcc_energy_X"
58,"tGravityAcc-energy()-Y","tGravityAcc_energy_Y"
59,"tGravityAcc-energy()-Z","tGravityAcc_energy_Z"
60,"tGravityAcc-iqr()-X","tGravityAcc_iqr_X"
61,"tGravityAcc-iqr()-Y","tGravityAcc_iqr_Y"
62,"tGravityAcc-iqr()-Z","tGravityAcc_iqr_Z"
63,"tGravityAcc-entropy()-X","tGravityAcc_entropy_X"
64,"tGravityAcc-entropy()-Y","tGravityAcc_entropy_Y"
65,"tGravityAcc-entropy()-Z","tGravityAcc_entropy_Z"
66,"tGravityAcc-arCoeff()-X,1","tGravityAcc_arCoeff_X_1"
67,"tGravityAcc-arCoeff()-X,2","tGravityAcc_arCoeff_X_2"
68,"tGravityAcc-arCoeff()-X,3","tGravityAcc_arCoeff_X_3"
69,"tGravityAcc-arCoeff()-X,4","tGravityAcc_arCoeff_X_4"
70,"tGravityAcc-arCoeff()-Y,1","tGravityAcc_arCoeff_Y_1"
71,"tGravityAcc-arCoeff()-Y,2","tGravityAcc_arCoeff_Y_2"
72,"tGravityAcc-arCoeff()-Y,3","tGravityAcc_arCoeff_Y_3"
73,"tGravityAcc-arCoeff()-Y,4","tGravityAcc_arCoeff_Y_4"
74,"tGravityAcc-arCoeff()-Z,1","tGravityAcc_arCoeff_Z_1"
75,"tGravityAcc-arCoeff()-Z,2","tGravityAcc_arCoeff_Z_2"
76,"tGravityAcc-arCoeff()-Z,3","tGravityAcc_arCoeff_Z_3"
77,"tGravityAcc-arCoeff()-Z,4","tGravityAcc_arCoeff_Z_4"
78,"tGravityAcc-correlation()-X,Y","tGravityAcc_correlation_X_Y"
79,"tGravityAcc-correlation()-X,Z","tGravityAcc_correlation_X_Z"
80,"tGravityAcc-correlation()-Y,Z","tGravityAcc_correlation_Y_Z"
81,"tBodyAccJerk-mean()-X","tBodyAccJerk_mean_X"
82,"tBodyAccJerk-mean()-Y","tBodyAccJerk_mean_Y"
83,"tBodyAccJerk-mean()-Z","tBodyAccJerk_mean_Z"
84,"tBodyAccJerk-std()-X","tBodyAccJerk_std_X"
85,"tBodyAccJerk-std()-Y","tBodyAccJerk_std_Y"
86,"tBodyAccJerk-std()-Z","tBodyAccJerk_std_Z"
87,"tBodyAccJerk-mad()-X","tBodyAccJerk_mad_X"
88,"tBodyAccJerk-mad()-Y","tBodyAccJerk_mad_Y"
89,"tBodyAccJerk-mad()-Z","tBodyAccJerk_mad_Z"
90,"tBodyAccJerk-max()-X","tBodyAccJerk_max_X"
91,"tBodyAccJerk-max()-Y","tBodyAccJerk_max_Y"
92,"tBodyAccJerk-max()-Z","tBodyAccJerk_max_Z"
93,"tBodyAccJerk-min()-X","tBodyAccJerk_min_X"
94,"tBodyAccJerk-min()-Y","tBodyAccJerk_min_Y"
95,"tBodyAccJerk-min()-Z","tBodyAccJerk_min_Z"
96,"tBodyAccJerk-sma()","tBodyAccJerk_sma"
97,"tBodyAccJerk-energy()-X","tBodyAccJerk_energy_X"
98,"tBodyAccJerk-energy()-Y","tBodyAccJerk_energy_Y"
99,"tBodyAccJerk-energy()-Z","tBodyAccJerk_energy_Z"
100,"tBodyAccJerk-iqr()-X","tBodyAccJerk_iqr_X"
101,"tBodyAccJerk-iqr()-Y","tBodyAccJerk_iqr_Y"
102,"tBodyAccJerk-iqr()-Z","tBodyAccJerk_iqr_Z"
103,"tBodyAccJerk-entropy()-X","tBodyAccJerk_entropy_X"
104,"tBodyAccJerk-entropy()-Y","tBodyAccJerk_entropy_Y"
105,"tBodyAccJerk-entropy()-Z","tBodyAccJerk_entropy_Z"
106,"tBodyAccJerk-arCoeff()-X,1","tBodyAccJerk_arCoeff_X_1"
107,"tBodyAccJerk-arCoeff()-X,2","tBodyAccJerk_arCoeff_X_2"
108,"tBodyAccJerk-arCoeff()-X,3","tBodyAccJerk_arCoeff_X_3"
109,"tBodyAccJerk-arCoeff()-X,4","tBodyAccJerk_arCoeff_X_4"
110,"tBodyAccJerk-arCoeff()-Y,1","tBodyAccJerk_arCoeff_Y_1"
111,"tBodyAccJerk-arCoeff()-Y,2","tBodyAccJerk_arCoeff_Y_2"
112,"tBodyAccJerk-arCoeff()-Y,3","tBodyAccJerk_arCoeff_Y_3"
113,"tBodyAccJerk-arCoeff()-Y,4","tBodyAccJerk_arCoeff_Y_4"
114,"tBodyAccJerk-arCoeff()-Z,1","tBodyAccJerk_arCoeff_Z_1"
115,"tBodyAccJerk-arCoeff()-Z,2","tBodyAccJerk_arCoeff_Z_2"
116,"tBodyAccJerk-arCoeff()-Z,3","tBodyAccJerk_arCoeff_Z_3"
117,"tBodyAccJerk-arCoeff()-Z,4","tBodyAccJerk_arCoeff_Z_4"
118,"tBodyAccJerk-correlation()-X,Y","tBodyAccJerk_correlation_X_Y"
119,"tBodyAccJerk-correlation()-X,Z","tBodyAccJerk_correlation_X_Z"
120,"tBodyAccJerk-correlation()-Y,Z","tBodyAccJerk_correlation_Y_Z"
121,"tBodyGyro-mean()-X","tBodyGyro_mean_X"
122,"tBodyGyro-mean()-Y","tBodyGyro_mean_Y"
123,"tBodyGyro-mean()-Z","tBodyGyro_mean_Z"
124,"tBodyGyro-std()-X","tBodyGyro_std_X"
125,"tBodyGyro-std()-Y","tBodyGyro_std_Y"
126,"tBodyGyro-std()-Z","tBodyGyro_std_Z"
127,"tBodyGyro-mad()-X","tBodyGyro_mad_X"
128,"tBodyGyro-mad()-Y","tBodyGyro_mad_Y"
129,"tBodyGyro-mad()-Z","tBodyGyro_mad_Z"
130,"tBodyGyro-max()-X","tBodyGyro_max_X"
131,"tBodyGyro-max()-Y","tBodyGyro_max_Y"
132,"tBodyGyro-max()-Z","tBodyGyro_max_Z"
133,"tBodyGyro-min()-X","tBodyGyro_min_X"
134,"tBodyGyro-min()-Y","tBodyGyro_min_Y"
135,"tBodyGyro-min()-Z","tBodyGyro_min_Z"
136,"tBodyGyro-sma()","tBodyGyro_sma"
137,"tBodyGyro-energy()-X","tBodyGyro_energy_X"
138,"tBodyGyro-energy()-Y","tBodyGyro_energy_Y"
139,"tBodyGyro-energy()-Z","tBodyGyro_energy_Z"
140,"tBodyGyro-iqr()-X","tBodyGyro_iqr_X"
141,"tBodyGyro-iqr()-Y","tBodyGyro_iqr_Y"
142,"tBodyGyro-iqr()-Z","tBodyGyro_iqr_Z"
143,"tBodyGyro-entropy()-X","tBodyGyro_entropy_X"
144,"tBodyGyro-entropy()-Y","tBodyGyro_entropy_Y"
145,"tBodyGyro-entropy()-Z","tBodyGyro_entropy_Z"
146,"tBodyGyro-arCoeff()-X,1","tBodyGyro_arCoeff_X_1"
147,"tBodyGyro-arCoeff()-X,2","tBodyGyro_arCoeff_X_2"
148,"tBodyGyro-arCoeff()-X,3","tBodyGyro_arCoeff_X_3"
149,"tBodyGyro-arCoeff()-X,4","tBodyGyro_arCoeff_X_4"
150,"tBodyGyro-arCoeff()-Y,1","tBodyGyro_arCoeff_Y_1"
151,"tBodyGyro-arCoeff()-Y,2","tBodyGyro_arCoeff_Y_2"
152,"tBodyGyro-arCoeff()-Y,3","tBodyGyro_arCoeff_Y_3"
153,"tBodyGyro-arCoeff()-Y,4","tBodyGyro_arCoeff_Y_4"
154,"tBodyGyro-arCoeff()-Z,1","tBodyGyro_arCoeff_Z_1"
155,"tBodyGyro-arCoeff()-Z,2","tBodyGyro_arCoeff_Z_2"
156,"tBodyGyro-arCoeff()-Z,3","tBodyGyro_arCoeff_Z_3"
157,"tBodyGyro-arCoeff()-Z,4","tBodyGyro_arCoeff_Z_4"
158,"tBodyGyro-correlation()-X,Y","tBodyGyro_correlation_X_Y"
159,"tBodyGyro-correlation()-X,Z","tBodyGyro_correlation_X_Z"
160,"tBodyGyro-correlation()-Y,Z","tBodyGyro_correlation_Y_Z"
161,"tBodyGyroJerk-mean()-X","tBodyGyroJerk_mean_X"
162,"tBodyGyroJerk-mean()-Y","tBodyGyroJerk_mean_Y"
163,"tBodyGyroJerk-mean()-Z","tBodyGyroJerk_mean_Z"
164,"tBodyGyroJerk-std()-X","tBodyGyroJerk_std_X"
165,"tBodyGyroJerk-std()-Y","tBodyGyroJerk_std_Y"
166,"tBodyGyroJerk-std()-Z","tBodyGyroJerk_std_Z"
167,"tBodyGyroJerk-mad()-X","tBodyGyroJerk_mad_X"
168,"tBodyGyroJerk-mad()-Y","tBodyGyroJerk_mad_Y"
169,"tBodyGyroJerk-mad()-Z","tBodyGyroJerk_mad_Z"
170,"tBodyGyroJerk-max()-X","tBodyGyroJerk_max_X"
171,"tBodyGyroJerk-max()-Y","tBodyGyroJerk_max_Y"
172,"tBodyGyroJerk-max()-Z","tBodyGyroJerk_max_Z"
173,"tBodyGyroJerk-min()-X","tBodyGyroJerk_min_X"
174,"tBodyGyroJerk-min()-Y","tBodyGyroJerk_min_Y"
175,"tBodyGyroJerk-min()-Z","tBodyGyroJerk_min_Z"
176,"tBodyGyroJerk-sma()","tBodyGyroJerk_sma"
177,"tBodyGyroJerk-energy()-X","tBodyGyroJerk_energy_X"
178,"tBodyGyroJerk-energy()-Y","tBodyGyroJerk_energy_Y"
179,"tBodyGyroJerk-energy()-Z","tBodyGyroJerk_energy_Z"
180,"tBodyGyroJerk-iqr()-X","tBodyGyroJerk_iqr_X"
181,"tBodyGyroJerk-iqr()-Y","tBodyGyroJerk_iqr_Y"
182,"tBodyGyroJerk-iqr()-Z","tBodyGyroJerk_iqr_Z"
183,"tBodyGyroJerk-entropy()-X","tBodyGyroJerk_entropy_X"
184,"tBodyGyroJerk-entropy()-Y","tBodyGyroJerk_entropy_Y"
185,"tBodyGyroJerk-entropy()-Z","tBodyGyroJerk_entropy_Z"
186,"tBodyGyroJerk-arCoeff()-X,1","tBodyGyroJerk_arCoeff_X_1"
187,"tBodyGyroJerk-arCoeff()-X,2","tBodyGyroJerk_arCoeff_X_2"
188,"tBodyGyroJerk-arCoeff()-X,3","tBodyGyroJerk_arCoeff_X_3"
189,"tBodyGyroJerk-arCoeff()-X,4","tBodyGyroJerk_arCoeff_X_4"
190,"tBodyGyroJerk-arCoeff()-Y,1","tBodyGyroJerk_arCoeff_Y_1"
191,"tBodyGyroJerk-arCoeff()-Y,2","tBodyGyroJerk_arCoeff_Y_2"
192,"tBodyGyroJerk-arCoeff()-Y,3","tBodyGyroJerk_arCoeff_Y_3"
193,"tBodyGyroJerk-arCoeff()-Y,4","tBodyGyroJerk_arCoeff_Y_4"
194,"tBodyGyroJerk-arCoeff()-Z,1","tBodyGyroJerk_arCoeff_Z_1"
195,"tBodyGyroJerk-arCoeff()-Z,2","tBodyGyroJerk_arCoeff_Z_2"
196,"tBodyGyroJerk-arCoeff()-Z,3","tBodyGyroJerk_arCoeff_Z_3"
197,"tBodyGyroJerk-arCoeff()-Z,4","tBodyGyroJerk_arCoeff_Z_4"
198,"tBodyGyroJerk-correlation()-X,Y","tBodyGyroJerk_correlation_X_Y"
199,"tBodyGyroJerk-correlation()-X,Z","tBodyGyroJerk_correlation_X_Z"
200,"tBodyGyroJerk-correlation()-Y,Z","tBodyGyroJerk_correlation_Y_Z"
201,"tBodyAccMag-mean()","tBodyAccMag_mean"
202,"tBodyAccMag-std()","tBodyAccMag_std"
203,"tBodyAccMag-mad()","tBodyAccMag_mad"
204,"tBodyAccMag-max()","tBodyAccMag_max"
205,"tBodyAccMag-min()","tBodyAccMag_min"
206,"tBodyAccMag-sma()","tBodyAccMag_sma"
207,"tBodyAccMag-energy()","tBodyAccMag_energy"
208,"tBodyAccMag-iqr()","tBodyAccMag_iqr"
209,"tBodyAccMag-entropy()","tBodyAccMag_entropy"
210,"tBodyAccMag-arCoeff()1","tBodyAccMag_arCoeff1"
211,"tBodyAccMag-arCoeff()2","tBodyAccMag_arCoeff2"
212,"tBodyAccMag-arCoeff()3","tBodyAccMag_arCoeff3"
213,"tBodyAccMag-arCoeff()4","tBodyAccMag_arCoeff4"
214,"tGravityAccMag-mean()","tGravityAccMag_mean"
215,"tGravityAccMag-std()","tGravityAccMag_std"
216,"tGravityAccMag-mad()","tGravityAccMag_mad"
217,"tGravityAccMag-max()","tGravityAccMag_max"
218,"tGravityAccMag-min()","tGravityAccMag_min"
219,"tGravityAccMag-sma()","tGravityAccMag_sma"
220,"tGravityAccMag-energy()","tGravityAccMag_energy"
221,"tGravityAccMag-iqr()","tGravityAccMag_iqr"
222,"tGravityAccMag-entropy()","tGravityAccMag_entropy"
223,"tGravityAccMag-arCoeff()1","tGravityAccMag_arCoeff1"
224,"tGravityAccMag-arCoeff()2","tGravityAccMag_arCoeff2"
225,"tGravityAccMag-arCoeff()3","tGravityAccMag_arCoeff3"
226,"tGravityAccMag-arCoeff()4","tGravityAccMag_arCoeff4"
227,"tBodyAccJerkMag-mean()","tBodyAccJerkMag_mean"
228,"tBodyAccJerkMag-std()","tBodyAccJerkMag_std"
229,"tBodyAccJerkMag-mad()","tBodyAccJerkMag_mad"
230,"tBodyAccJerkMag-max()","tBodyAccJerkMag_max"
231,"tBodyAccJerkMag-min()","tBodyAccJerkMag_min"
232,"tBodyAccJerkMag-sma()","tBodyAccJerkMag_sma"
233,"tBodyAccJerkMag-energy()","tBodyAccJerkMag_energy"
234,"tBodyAccJerkMag-iqr()","tBodyAccJerkMag_iqr"
235,"tBodyAccJerkMag-entropy()","tBodyAccJerkMag_entropy"
236,"tBodyAccJerkMag-arCoeff()1","tBodyAccJerkMag_arCoeff1"
237,"tBodyAccJerkMag-arCoeff()2","tBodyAccJerkMag_arCoeff2"
238,"tBodyAccJerkMag-arCoeff()3","tBodyAccJerkMag_arCoeff3"
239,"tBodyAccJerkMag-arCoeff()4","tBodyAccJerkMag_arCoeff4"
240,"tBodyGyroMag-mean()","tBodyGyroMag_mean"
241,"tBodyGyroMag-std()","tBodyGyroMag_std"
242,"tBodyGyroMag-mad()","tBodyGyroMag_mad"
243,"tBodyGyroMag-max()","tBodyGyroMag_max"
244,"tBodyGyroMag-min()","tBodyGyroMag_min"
245,"tBodyGyroMag-sma()","tBodyGyroMag_sma"
246,"tBodyGyroMag-energy()","tBodyGyroMag_energy"
247,"tBodyGyroMag-iqr()","tBodyGyroMag_iqr"
248,"tBodyGyroMag-entropy()","tBodyGyroMag_entropy"
249,"tBodyGyroMag-arCoeff()1","tBodyGyroMag_arCoeff1"
250,"tBodyGyroMag-arCoeff()2","tBodyGyroMag_arCoeff2"
251,"tBodyGyroMag-arCoeff()3","tBodyGyroMag_arCoeff3"
252,"tBodyGyroMag-arCoeff()4","tBodyGyroMag_arCoeff4"
253,"tBodyGyroJerkMag-mean()","tBodyGyroJerkMag_mean"
254,"tBodyGyroJerkMag-std()","tBodyGyroJerkMag_std"
255,"tBodyGyroJerkMag-mad()","tBodyGyroJerkMag_mad"
256,"tBodyGyroJerkMag-max()","tBodyGyroJerkMag_max"
257,"tBodyGyroJerkMag-min()","tBodyGyroJerkMag_min"
258,"tBodyGyroJerkMag-sma()","tBodyGyroJerkMag_sma"
259,"tBodyGyroJerkMag-energy()","tBodyGyroJerkMag_energy"
260,"tBodyGyroJerkMag-iqr()","tBodyGyroJerkMag_iqr"
261,"tBodyGyroJerkMag-entropy()","tBodyGyroJerkMag_entropy"
262,"tBodyGyroJerkMag-arCoeff()1","tBodyGyroJerkMag_arCoeff1"
263,"tBodyGyroJerkMag-arCoeff()2","tBodyGyroJerkMag_arCoeff2"
264,"tBodyGyroJerkMag-arCoeff()3","tBodyGyroJerkMag_arCoeff3"
265,"tBodyGyroJerkMag-arCoeff()4","tBodyGyroJerkMag_arCoeff4"
266,"fBodyAcc-mean()-X","fBodyAcc_mean_X"
267,"fBodyAcc-mean()-Y","fBodyAcc_mean_Y"
268,"fBodyAcc-mean()-Z","fBodyAcc_mean_Z"
269,"fBodyAcc-std()-X","fBodyAcc_std_X"
270,"fBodyAcc-std()-Y","fBodyAcc_std_Y"
271,"fBodyAcc-std()-Z","fBodyAcc_std_Z"
272,"fBodyAcc-mad()-X","fBodyAcc_mad_X"
273,"fBodyAcc-mad()-Y","fBodyAcc_mad_Y"
274,"fBodyAcc-mad()-Z","fBodyAcc_mad_Z"
275,"fBodyAcc-max()-X","fBodyAcc_max_X"
276,"fBodyAcc-max()-Y","fBodyAcc_max_Y"
277,"fBodyAcc-max()-Z","fBodyAcc_max_Z"
278,"fBodyAcc-min()-X","fBodyAcc_min_X"
279,"fBodyAcc-min()-Y","fBodyAcc_min_Y"
280,"fBodyAcc-min()-Z","fBodyAcc_min_Z"
281,"fBodyAcc-sma()","fBodyAcc_sma"
282,"fBodyAcc-energy()-X","fBodyAcc_energy_X"
283,"fBodyAcc-energy()-Y","fBodyAcc_energy_Y"
284,"fBodyAcc-energy()-Z","fBodyAcc_energy_Z"
285,"fBodyAcc-iqr()-X","fBodyAcc_iqr_X"
286,"fBodyAcc-iqr()-Y","fBodyAcc_iqr_Y"
287,"fBodyAcc-iqr()-Z","fBodyAcc_iqr_Z"
288,"fBodyAcc-entropy()-X","fBodyAcc_entropy_X"
289,"fBodyAcc-entropy()-Y","fBodyAcc_entropy_Y"
290,"fBodyAcc-entropy()-Z","fBodyAcc_entropy_Z"
291,"fBodyAcc-maxInds-X","fBodyAcc_maxInds_X"
292,"fBodyAcc-maxInds-Y","fBodyAcc_maxInds_Y"
293,"fBodyAcc-maxInds-Z","fBodyAcc_maxInds_Z"
294,"fBodyAcc-meanFreq()-X","fBodyAcc_meanFreq_X"
295,"fBodyAcc-meanFreq()-Y","fBodyAcc_meanFreq_Y"
296,"fBodyAcc-meanFreq()-Z","fBodyAcc_meanFreq_Z"
297,"fBodyAcc-skewness()-X","fBodyAcc_skewness_X"
298,"fBodyAcc-kurtosis()-X","fBodyAcc_kurtosis_X"
299,"fBodyAcc-skewness()-Y","fBodyAcc_skewness_Y"
300,"fBodyAcc-kurtosis()-Y","fBodyAcc_kurtosis_Y"
301,"fBodyAcc-skewness()-Z","fBodyAcc_skewness_Z"
302,"fBodyAcc-kurtosis()-Z","fBodyAcc_kurtosis_Z"
303,"fBodyAcc-bandsEnergy()-1,8","fBodyAcc_bandsEnergy_1_8"
304,"fBodyAcc-bandsEnergy()-9,16","fBodyAcc_bandsEnergy_9_16"
305,"fBodyAcc-bandsEnergy()-17,24","fBodyAcc_bandsEnergy_17_24"
306,"fBodyAcc-bandsEnergy()-25,32","fBodyAcc_bandsEnergy_25_32"
307,"fBodyAcc-bandsEnergy()-33,40","fBodyAcc_bandsEnergy_33_40"
308,"fBodyAcc-bandsEnergy()-41,48","fBodyAcc_bandsEnergy_41_48"
309,"fBodyAcc-bandsEnergy()-49,56","fBodyAcc_bandsEnergy_49_56"
310,"fBodyAcc-bandsEnergy()-57,64","fBodyAcc_bandsEnergy_57_64"
311,"fBodyAcc-bandsEnergy()-1,16","fBodyAcc_bandsEnergy_1_16"
312,"fBodyAcc-bandsEnergy()-17,32","fBodyAcc_bandsEnergy_17_32"
313,"fBodyAcc-bandsEnergy()-33,48","fBodyAcc_bandsEnergy_33_48"
314,"fBodyAcc-bandsEnergy()-49,64","fBodyAcc_bandsEnergy_49_64"
315,"fBodyAcc-bandsEnergy()-1,24","fBodyAcc_bandsEnergy_1_24"
316,"fBodyAcc-bandsEnergy()-25,48","fBodyAcc_bandsEnergy_25_48"
317,"fBodyAcc-bandsEnergy()-1,8","fBodyAcc_bandsEnergy_1_8"
318,"fBodyAcc-bandsEnergy()-9,16","fBodyAcc_bandsEnergy_9_16"
319,"fBodyAcc-bandsEnergy()-17,24","fBodyAcc_bandsEnergy_17_24"
320,"fBodyAcc-bandsEnergy()-25,32","fBodyAcc_bandsEnergy_25_32"
321,"fBodyAcc-bandsEnergy()-33,40","fBodyAcc_bandsEnergy_33_40"
322,"fBodyAcc-bandsEnergy()-41,48","fBodyAcc_bandsEnergy_41_48"
323,"fBodyAcc-bandsEnergy()-49,56","fBodyAcc_bandsEnergy_49_56"
324,"fBodyAcc-bandsEnergy()-57,64","fBodyAcc_bandsEnergy_57_64"
325,"fBodyAcc-bandsEnergy()-1,16","fBodyAcc_bandsEnergy_1_16"
326,"fBodyAcc-bandsEnergy()-17,32","fBodyAcc_bandsEnergy_17_32"
327,"fBodyAcc-bandsEnergy()-33,48","fBodyAcc_bandsEnergy_33_48"
328,"fBodyAcc-bandsEnergy()-49,64","fBodyAcc_bandsEnergy_49_64"
329,"fBodyAcc-bandsEnergy()-1,24","fBodyAcc_bandsEnergy_1_24"
330,"fBodyAcc-bandsEnergy()-25,48","fBodyAcc_bandsEnergy_25_48"
331,"fBodyAcc-bandsEnergy()-1,8","fBodyAcc_bandsEnergy_1_8"
332,"fBodyAcc-bandsEnergy()-9,16","fBodyAcc_bandsEnergy_9_16"
333,"fBodyAcc-bandsEnergy()-17,24","fBodyAcc_bandsEnergy_17_24"
334,"fBodyAcc-bandsEnergy()-25,32","fBodyAcc_bandsEnergy_25_32"
335,"fBodyAcc-bandsEnergy()-33,40","fBodyAcc_bandsEnergy_33_40"
336,"fBodyAcc-bandsEnergy()-41,48","fBodyAcc_bandsEnergy_41_48"
337,"fBodyAcc-bandsEnergy()-49,56","fBodyAcc_bandsEnergy_49_56"
338,"fBodyAcc-bandsEnergy()-57,64","fBodyAcc_bandsEnergy_57_64"
339,"fBodyAcc-bandsEnergy()-1,16","fBodyAcc_bandsEnergy_1_16"
340,"fBodyAcc-bandsEnergy()-17,32","fBodyAcc_bandsEnergy_17_32"
341,"fBodyAcc-bandsEnergy()-33,48","fBodyAcc_bandsEnergy_33_48"
342,"fBodyAcc-bandsEnergy()-49,64","fBodyAcc_bandsEnergy_49_64"
343,"fBodyAcc-bandsEnergy()-1,24","fBodyAcc_bandsEnergy_1_24"
344,"fBodyAcc-bandsEnergy()-25,48","fBodyAcc_bandsEnergy_25_48"
345,"fBodyAccJerk-mean()-X","fBodyAccJerk_mean_X"
346,"fBodyAccJerk-mean()-Y","fBodyAccJerk_mean_Y"
347,"fBodyAccJerk-mean()-Z","fBodyAccJerk_mean_Z"
348,"fBodyAccJerk-std()-X","fBodyAccJerk_std_X"
349,"fBodyAccJerk-std()-Y","fBodyAccJerk_std_Y"
350,"fBodyAccJerk-std()-Z","fBodyAccJerk_std_Z"
351,"fBodyAccJerk-mad()-X","fBodyAccJerk_mad_X"
352,"fBodyAccJerk-mad()-Y","fBodyAccJerk_mad_Y"
353,"fBodyAccJerk-mad()-Z","fBodyAccJerk_mad_Z"
354,"fBodyAccJerk-max()-X","fBodyAccJerk_max_X"
355,"fBodyAccJerk-max()-Y","fBodyAccJerk_max_Y"
356,"fBodyAccJerk-max()-Z","fBodyAccJerk_max_Z"
357,"fBodyAccJerk-min()-X","fBodyAccJerk_min_X"
358,"fBodyAccJerk-min()-Y","fBodyAccJerk_min_Y"
359,"fBodyAccJerk-min()-Z","fBodyAccJerk_min_Z"
360,"fBodyAccJerk-sma()","fBodyAccJerk_sma"
361,"fBodyAccJerk-energy()-X","fBodyAccJerk_energy_X"
362,"fBodyAccJerk-energy()-Y","fBodyAccJerk_energy_Y"
363,"fBodyAccJerk-energy()-Z","fBodyAccJerk_energy_Z"
364,"fBodyAccJerk-iqr()-X","fBodyAccJerk_iqr_X"
365,"fBodyAccJerk-iqr()-Y","fBodyAccJerk_iqr_Y"
366,"fBodyAccJerk-iqr()-Z","fBodyAccJerk_iqr_Z"
367,"fBodyAccJerk-entropy()-X","fBodyAccJerk_entropy_X"
368,"fBodyAccJerk-entropy()-Y","fBodyAccJerk_entropy_Y"
369,"fBodyAccJerk-entropy()-Z","fBodyAccJerk_entropy_Z"
370,"fBodyAccJerk-maxInds-X","fBodyAccJerk_maxInds_X"
371,"fBodyAccJerk-maxInds-Y","fBodyAccJerk_maxInds_Y"
372,"fBodyAccJerk-maxInds-Z","fBodyAccJerk_maxInds_Z"
373,"fBodyAccJerk-meanFreq()-X","fBodyAccJerk_meanFreq_X"
